,Job Title,Salary Estimate,Job Description,Skills,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,min_salary,max_salary,avg_salary,company_txt,job_state,age,python_yn,R_yn,spark,cloud,excel,sql,machine_learning,statistics,salary_range,job_simp,seniority,desc_len
226,Data Scientist - TikTok Live,$144K - $240K (Employer est.),"Research data science theories and methodology, improve analysis efficiency and data product tools. The primary role of a Data Scientist is to conduct deep……","Skills: Agency management, R, Data analysis skills, SQL, Analysis skills",3.3,TikTok,"San Jose, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,144.0,240.0,192.0,Tik,CA,8,0,1,0,0,1,1,0,0,96.0,data scientist,na,157
227,Lead Data Scientist - People Analytics,$127K - $175K (Employer est.),"Exercises independent judgment and decision making on complex issues regarding job duties and related tasks, and works under minimal supervision, uses……","Skills: Statistics, Power BI, Microsoft Excel, Microsoft SQL Server, SSRS",3.8,Humana,Remote,10000+ Employees,1961,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),0,127.0,175.0,151.0,Hum,,63,0,1,0,0,1,1,0,1,48.0,data scientist,senior,152
228,"Data Scientist, Analytics",$110K - $130K (Employer est.),"Analyze data, build BI tools and develop financial models. At the federal level, marijuana is an illegal schedule 1 drug; therefore, we will not employ any……","Skills: AWS, S3, Data science",3.5,Axos Bank,"San Diego, CA",1001 to 5000 Employees,2000,Company - Public,Banking & Lending,Financial Services,$500 million to $1 billion (USD),0,110.0,130.0,120.0,Axos B,CA,24,0,0,0,1,1,0,0,0,20.0,data scientist,na,157
229,AIML Data Scientist,$103K - $135K (Glassdoor est.),"Job order - J0724-1553 - Permanent Full Time. Title AIML Data Scientist Category Analytics and Emerging Digital Technologies City Bloomfield, Connecticut,……",Skills: Data modeling,3.8,"CGI Group, Inc.","Bloomfield, CT",10000+ Employees,1976,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD),0,103.0,135.0,119.0,"CGI Group, I",CT,48,0,0,0,0,1,0,0,0,32.0,data scientist,na,156
230,Bioinformatics Data Scientist,$45.21 - $84.67 Per Hour (Employer est.),"The individual will also utilize and develop algorithms, computational techniques, and statistical methodologies and will assist in the design of new……","Skills: Operating systems, Management, Customer service, Relational databases, Software deployment",4.2,UC San Diego,"San Diego, CA",10000+ Employees,1960,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,1,90.42,169.34,64.94,UC San Di,CA,64,0,1,0,0,1,0,0,0,39.46,data scientist,na,151
231,Data Scientist II,$102K - $145K (Glassdoor est.),"The Data Scientist II has a breadth of expertise in data science methodologies and techniques and can select appropriate tools for accessing and cleansing data,……","Skills: Data mining, SAS, Software deployment, Data structures, R",4.4,Les Schwab,"Bend, OR",5001 to 10000 Employees,1952,Company - Private,Automotive Parts & Accessories Stores,Retail & Wholesale,$1 to $5 billion (USD),0,102.0,145.0,123.5,Les Sch,OR,72,0,1,0,0,1,0,0,0,43.0,data scientist,na,162
232,Staff Data Scientist,$146K - $270K (Employer est.),"Proven leadership skills, such as aligning complex technical decisions across teams, mentoring, coordinating cross-functional relationships with non-technical……","Skills: Statistics, R, Java, SQL, Statistical analysis",3.6,Warner Bros. Discovery,United States,10000+ Employees,2022,Company - Public,Film Production,Media & Communication,$10+ billion (USD),0,146.0,270.0,208.0,Warner Bros. Discov,,2,0,1,0,0,1,1,0,1,124.0,data scientist,na,160
233,Data Scientist,$63K - $98K (Employer est.),"Degree: Mathematics, statistics, computer science, data science or field directly related to the position. Design and oversee the implementation of a Department……","Skills: Data mining, English, Machine learning, AI",4.2,U.S. Department of Justice,"Washington, DC",10000+ Employees,1870,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,0,63.0,98.0,80.5,U.S. Department of Just,DC,154,0,1,0,0,1,0,1,0,35.0,data scientist,na,162
234,Data Scientist I,$82K - $106K (Glassdoor est.),"Cash Forecasting: (1) Quickly develop cash consumer demand and supply operations business expertise; (2) Identify, collect, and process the requisite data; (3)……","Skills: ArcGIS, Microsoft Excel, Azure, Data mining, Relational databases",3.5,NCR Atleos,"Frisco, TX",10000+ Employees,1884,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),0,82.0,106.0,94.0,NCR Atl,TX,140,0,1,0,1,1,0,0,0,24.0,data scientist,na,161
235,Staff Data Scientist | Product,$225K - $265K (Employer est.),"You will partner closely in Ramp’s development process through product ideation, experimental design, implementation, execution, and analysis.…","Skills: SQL, Purchasing, Redshift, Python, Analytics",4.3,Ramp Financial,United States,201 to 500 Employees,2019,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable,0,225.0,265.0,245.0,Ramp Financ,,5,1,1,0,0,1,1,0,0,40.0,data scientist,na,143
